Placa,MES_1,MES_2,MES_3,MES_4,MES_ATUAL,RESULTADO,Marca
GeForce RTX 4070 Ti,0.62,0.68,0.83,0.88,0.92,0.04,NVIDIA
GeForce GTX 1080,0.94,1.00,0.97,0.91,0.84,-0.07,NVIDIA
GeForce RTX 3050 Ti Laptop GPU,1.20,1.10,1.15,1.07,0.79,-0.28,NVIDIA
Radeon RX 580,1.04,1.07,1.03,0.95,0.74,-0.21,AMD
GeForce RTX 3080 Ti,0.76,0.85,0.87,0.79,0.68,-0.11,NVIDIA
GeForce RTX 4080,0.40,0.47,0.53,0.53,0.64,0.11,NVIDIA
GeForce RTX 2080 SUPER,0.52,0.56,0.55,0.54,0.64,0.1,NVIDIA
GeForce RTX 4090,0.56,0.65,0.78,0.73,0.62,-0.11,NVIDIA
GeForce RTX 3070 Laptop GPU,0.85,0.85,0.91,0.81,0.62,-0.19,NVIDIA
GeForce GTX 1650 Ti,1.00,0.91,0.90,0.82,0.60,-0.22,NVIDIA
GeForce RTX 3050 Laptop GPU,0.85,0.74,0.80,0.76,0.54,-0.22,NVIDIA
Radeon RX 570,0.80,0.80,0.75,0.70,0.53,-0.17,AMD
Radeon RX 6700 XT,0.57,0.63,0.68,0.64,0.53,-0.11,AMD
Radeon RX 5700 XT,0.62,0.68,0.67,0.63,0.50,-0.13,AMD
GeForce RTX 2080,0.47,0.50,0.49,0.47,0.50,0.03,NVIDIA
GeForce RTX 3090,0.52,0.60,0.61,0.54,0.49,-0.05,NVIDIA
GeForce GTX 1080 Ti,0.60,0.66,0.64,0.58,0.48,-0.1,NVIDIA
Radeon Vega 8 Graphics,0.74,0.76,0.69,0.60,0.47,-0.13,AMD
GeForce GTX 1070 Ti,0.47,0.48,0.47,0.49,0.47,-0.02,NVIDIA
GeForce GTX 960,0.59,0.56,0.54,0.54,0.46,-0.08,NVIDIA
Radeon RX 6600,0.52,0.56,0.57,0.57,0.45,-0.12,AMD
GeForce GTX 1650 SUPER,0.71,0.67,0.63,0.59,0.45,-0.14,NVIDIA
Radeon(TM) Graphics,0.29,0.36,0.43,0.46,0.42,-0.04,AMD
GeForce GTX 970,0.60,0.64,0.59,0.52,0.40,-0.12,NVIDIA
GeForce RTX 4050 Laptop GPU,0.16,0.21,0.37,0.43,0.38,-0.05,NVIDIA
GeForce GTX 750 Ti,0.58,0.56,0.51,0.50,0.37,-0.13,NVIDIA
GeForce GT 1030,0.63,0.60,0.56,0.51,0.37,-0.14,NVIDIA
UHD Graphics 620,0.52,0.56,0.52,0.46,0.36,-0.1,Intel
GeForce RTX 2080 Ti,0.41,0.45,0.46,0.40,0.33,-0.07,NVIDIA
Radeon RX 6600 XT,0.39,0.41,0.42,0.38,0.32,-0.06,AMD
UHD Graphics 630,0.26,0.27,0.24,0.22,0.31,0.09,Intel
Radeon RX 580 2048SP,0.34,0.36,0.40,0.39,0.31,-0.08,AMD
GeForce RTX 3070 Ti Laptop GPU,0.40,0.39,0.43,0.39,0.28,-0.11,NVIDIA
Radeon Vega 3 Graphics,0.42,0.44,0.39,0.34,0.27,-0.07,AMD
Radeon RX 550,0.40,0.38,0.36,0.33,0.26,-0.07,AMD
GeForce GT 730,0.41,0.40,0.37,0.35,0.24,-0.11,NVIDIA
Radeon RX 6800 XT,0.27,0.31,0.33,0.31,0.23,-0.08,AMD
HD Graphics 620,0.34,0.38,0.33,0.28,0.23,-0.05,Intel
HD Graphics 520,0.32,0.35,0.32,0.28,0.22,-0.06,Intel
GeForce RTX 3050 Ti,0.32,0.27,0.31,0.28,0.21,-0.07,NVIDIA
HD Graphics 4600,0.30,0.34,0.30,0.26,0.20,-0.06,Intel
Radeon RX 6750 XT,0.19,0.21,0.25,0.24,0.19,-0.05,AMD
Radeon RX 6650 XT,0.20,0.21,0.24,0.23,0.19,-0.04,AMD
HD Graphics 4000,0.28,0.33,0.28,0.24,0.19,-0.05,Intel
Radeon RX 7900 XTX,0,0.17,0.23,0.21,0.19,-0.02,AMD
Radeon RX 6900 XT,0.21,0.25,0.25,0.23,0.18,-0.05,AMD
Radeon RX 5600 XT,0.24,0.25,0.25,0.24,0.17,-0.07,AMD
UHD Graphics 600,0,0,0,0,0.17,0.17,Intel
GeForce RTX 4070 Laptop GPU,0,0,0.19,0.20,0.16,-0.04,NVIDIA
Radeon RX 5500 XT,0.22,0.22,0.22,0.20,0.16,-0.04,AMD
Haswell,0.25,0.28,0.25,0.20,0.16,-0.04,Intel
GeForce 940M,0.24,0.25,0.23,0.20,0.16,-0.04,NVIDIA
GeForce GTX 960M,0.23,0.24,0.23,0.20,0.15,-0.05,NVIDIA
Ivy Bridge,0.24,0.27,0.24,0.20,0.15,-0.05,Intel
GeForce GT 710,0.25,0.24,0.23,0.20,0.15,-0.05,NVIDIA
OUTRAS,9.92,10.01,10.06,9.43,8.96,-0.47,OUTRAS
