Placa,MES_1,MES_2,MES_3,MES_4,MES_ATUAL,RESULTADO,Marca
Radeon Vega 8 Graphics,0.83,0.80,0.74,0.76,0.69,-0.07,AMD
Radeon RX 6700 XT,0.53,0.53,0.57,0.63,0.68,0.05,AMD
Radeon RX 5700 XT,0.62,0.63,0.62,0.68,0.67,-0.01,AMD
GeForce GTX 1080 Ti,0.62,0.60,0.60,0.66,0.64,-0.02,NVIDIA
GeForce GTX 1650 SUPER,0.78,0.75,0.71,0.67,0.63,-0.04,NVIDIA
GeForce RTX 3090,0.51,0.49,0.52,0.60,0.61,0.01,NVIDIA
GeForce GTX 970,0.65,0.62,0.60,0.64,0.59,-0.05,NVIDIA
Radeon RX 6600,0.49,0.49,0.52,0.56,0.57,0.01,AMD
GeForce GT 1030,0.69,0.66,0.63,0.60,0.56,-0.04,NVIDIA
GeForce RTX 2080 SUPER,0.55,0.55,0.52,0.56,0.55,-0.01,NVIDIA
GeForce GTX 960,0.64,0.60,0.59,0.56,0.54,-0.02,NVIDIA
GeForce RTX 4080,0.29,0.33,0.40,0.47,0.53,0.06,NVIDIA
UHD Graphics 620,0.53,0.55,0.52,0.56,0.52,-0.04,Intel
GeForce GTX 750 Ti,0.63,0.59,0.58,0.56,0.51,-0.05,NVIDIA
GeForce RTX 2080,0.50,0.49,0.47,0.50,0.49,-0.01,NVIDIA
GeForce GTX 1070 Ti,0.50,0.49,0.47,0.48,0.47,-0.01,NVIDIA
GeForce RTX 2080 Ti,0.41,0.39,0.41,0.45,0.46,0.01,NVIDIA
Radeon(TM) Graphics,0.23,0.25,0.29,0.36,0.43,0.07,AMD
GeForce RTX 3070 Ti Laptop GPU,0.40,0.40,0.40,0.39,0.43,0.04,NVIDIA
Radeon RX 6600 XT,0.40,0.40,0.39,0.41,0.42,0.01,AMD
Radeon RX 580 2048SP,0.31,0.32,0.34,0.36,0.40,0.04,AMD
Radeon Vega 3 Graphics,0.46,0.44,0.42,0.44,0.39,-0.05,AMD
GeForce RTX 4060 Ti,0,0,0,0.23,0.38,0.15,NVIDIA
GeForce RTX 4050 Laptop GPU,0,0,0.16,0.21,0.37,0.16,NVIDIA
GeForce GT 730,0.43,0.42,0.41,0.40,0.37,-0.03,NVIDIA
Radeon RX 550,0.44,0.42,0.40,0.38,0.36,-0.02,AMD
HD Graphics 620,0.34,0.36,0.34,0.38,0.33,-0.05,Intel
Radeon RX 6800 XT,0.24,0.23,0.27,0.31,0.33,0.02,AMD
HD Graphics 520,0.32,0.32,0.32,0.35,0.32,-0.03,Intel
GeForce RTX 3050 Ti,0.35,0.36,0.32,0.27,0.31,0.04,NVIDIA
HD Graphics 4600,0.31,0.30,0.30,0.34,0.30,-0.04,Intel
HD Graphics 4000,0.30,0.30,0.28,0.33,0.28,-0.05,Intel
Radeon RX 6750 XT,0,0,0.19,0.21,0.25,0.04,AMD
Radeon RX 5600 XT,0.24,0.24,0.24,0.25,0.25,0.0,AMD
Haswell,0.26,0.26,0.25,0.28,0.25,-0.03,Intel
Radeon RX 6900 XT,0.20,0.20,0.21,0.25,0.25,0.0,AMD
UHD Graphics 630,0.25,0.26,0.26,0.27,0.24,-0.03,Intel
Radeon RX 6650 XT,0.16,0.16,0.20,0.21,0.24,0.03,AMD
Ivy Bridge,0.24,0.25,0.24,0.27,0.24,-0.03,Intel
GeForce GTX 960M,0.27,0.26,0.23,0.24,0.23,-0.01,NVIDIA
GeForce RTX 4060,0,0,0,0,0.23,0.23,NVIDIA
GeForce GT 710,0.27,0.27,0.25,0.24,0.23,-0.01,NVIDIA
Radeon RX 7900 XTX,0,0,0,0.17,0.23,0.06,AMD
GeForce 940M,0.28,0.27,0.24,0.25,0.23,-0.02,NVIDIA
GeForce MX250,0.27,0.25,0.24,0.24,0.22,-0.02,NVIDIA
Radeon RX 5500 XT,0.23,0.23,0.22,0.22,0.22,0.0,AMD
UHD Graphics 630,0.23,0.22,0.24,0.23,0.22,-0.01,INTEL
GeForce RTX 3080 Laptop GPU,0.19,0.19,0.19,0.20,0.21,0.01,NVIDIA
Radeon RX 6500 XT,0.22,0.22,0.23,0.21,0.21,0.0,AMD
GeForce MX450,0.24,0.23,0.21,0.21,0.21,0.0,NVIDIA
GeForce RTX 4070 Laptop GPU,0,0,0,0,0.19,0.19,NVIDIA
GeForce MX150,0.23,0.21,0.21,0.21,0.19,-0.02,NVIDIA
HD Graphics 5500,0.19,0.19,0.19,0.20,0.18,-0.02,Intel
GeForce MX350,0.21,0.21,0.19,0.18,0.18,0.0,NVIDIA
Radeon RX 560,0.22,0.21,0.20,0.19,0.18,-0.01,AMD
HD Graphics 3000,0.19,0.19,0.18,0.21,0.18,-0.03,Intel
GeForce RTX T10-8,0,0,0,0.23,0.18,-0.05,NVIDIA
GeForce RTX 2070 with Max-Q Design,0.20,0.19,0.18,0.18,0.18,0.0,NVIDIA
Radeon RX Vega 11 Graphics,0.25,0.24,0.22,0.21,0.18,-0.03,AMD
GeForce GTX 950,0.21,0.20,0.19,0.18,0.17,-0.01,NVIDIA
UHD Graphics 600,0.16,0.17,0.16,0.18,0.17,-0.01,INTEL
Radeon R7 Graphics,0.17,0.16,0.16,0.17,0.16,-0.01,AMD
GeForce GTX 750,0.19,0.17,0.18,0.17,0.16,-0.01,NVIDIA
HD Graphics 530,0,0,0.15,0.17,0.16,-0.01,Intel
OUTRAS,9.44,9.48,9.92,10.01,10.06,0.05,OUTRAS
